State,Type,Num
AL,SL,9.80
AZ,IRC,2.30
AR,SL,21.40
CA,IRC,5.30
CO,IRC,1.50
CT,SM,29.70
FL,SL,20.20
GA,SL,15.90
HI,SL,19.90
ID,IRC,19.70
IL,SL,13.20
IN,SL,12.30
IA,SL,41.60
KS,SL,5.70
KY,SL,6.70
LA,SL,15.00
ME,IRC,6.40
MD,SL,2.40
MA,SL,15.80
MI,IRC,0.30
MN,SM,6.80
MS,SL,7.80
MO,SL,11.00
MT,IRC,33.20
NE,SL,2.50
NV,SL,19.20
NJ,IRC,15.50
NM,SL,39.30
NY,SM,5.80
NC,Court,1.30
OH,SL,15.50
OK,SL,15.60
OR,SL,17.20
PA,SM,3.00
RI,SL,28.80
SC,SL,24.80
TN,SL,16.90
TX,SL,15.30
UT,SL,28.70
VA,SM,1.70
WA,IRC,1.60
WV,SL,10.40
WI,SL,26.70
